Sample ID,Ship ID,Sed Depth,Site ,Site Type,AOM ,CH4 ,Sulfide,SO4,NO3,NO2,NH4 ,POC ,DOC 
1,1,Oily Layer,B,oil seep,8.04,0.93,0.08,29.65,18.05,0.48,2.29,1465618,528
2,1,0-3,B,oil seep,6.34,0.99,0.03,29.62,4.09,0.37,5.01,1413652,638
3,1,3-6 cm,B,oil seep,0,1.3,0.08,29.53,2.5,0.16,9.8,1265230,1116
4,1,6-9 cm,B,oil seep,4.15,1.59,0.03,29.43,2.47,0.29,10.34,1253183,747
5,1,9-15 cm,B,oil seep,0.39,1.2,0.08,29.87,3.96,0.2,10.78,1129449,790
6,1,15-20,B,oil seep,5.12,3.62,0.22,29.96,7.78,0.63,5.12,1083392,1415
7,1,20-25,B,oil seep,0,5.2,0.17,29.13,5.35,0.18,7.51,1049516,706
8,1,25-35,B,oil seep,2.86,5.57,0.08,28.97,4.38,0.29,9.91,1112057,844
9,1,35-50,B,oil seep,,6.79,0.17,30.54,4.94,0.07,12.52,1141233,827
10,1,Oily Layer,E,shelf,0,1.9,0.03,29.34,28.87,0.14,4.83,1145765,502
11,1,0-3,E,shelf,0,2.18,0.08,29.02,4.95,1.6,4.5,1252989,506
12,1,3-6 cm,E,shelf,0,1.88,0.12,28.92,3.87,1.28,8.09,1197539,595
13,1,6-9 cm,E,shelf,0,1.79,0.08,28.44,3.02,0.65,11.46,1139499,635
14,1,9-15 cm,E,shelf,0,1.7,0.12,29.69,3.2,0.57,14.72,944363,786
15,1,15-20,E,shelf,0,1.31,0.08,29.59,2.06,0.35,17.53,953266,550
16,1,20-25,E,shelf,0,0.68,0.12,29.56,1.76,0.57,21.46,855514,908
17,1,25-35,E,shelf,0,0.61,0.12,29.12,4.41,0.16,16.86,889646,936
18,1,35-50,E,shelf,,1.04,0.08,29.53,3.36,0.44,12.92,811192,783
19,1,0-3,A,oil seep,15.51,1.7,0.69,29.8,38.75,0.29,5.06,1307767,522
20,1,3-6 cm,A,oil seep,1.64,2.75,0.03,29.79,28.77,0.27,3.93,1160044,391
21,1,6-9 cm,A,oil seep,0.05,2.73,0.08,29.6,12.81,1.71,2.81,1012565,206
22,1,9-15 cm,A,oil seep,0,2.75,0.12,29.66,12.07,1.04,4.05,952362,383
23,1,15-20,A,oil seep,0,0.88,0.08,29.35,4.11,0.5,5.73,1011897,432
24,1,20-25,A,oil seep,4.6,1.31,0.12,29.49,3.99,0.37,8.09,952826,464
25,1,25-35,A,oil seep,0,0.5,0.08,28.61,4.1,0.29,13.26,994718,764
26,1,35-50,A,oil seep,,1.23,0.12,27.68,4.63,0.22,18.43,826390,586
27,1,0-3,A,oil seep,0,1.98,0.45,29.56,35.24,0.2,5.17,1089267,618
28,1,3-6 cm,A,oil seep,0,2.62,0.08,29.56,34.85,0.12,2.58,887735,426
29,1,6-9 cm,A,oil seep,0,2.87,0.08,29.23,26.44,0.5,3.37,814611,510
30,1,9-15 cm,A,oil seep,0,2.82,0.17,29.96,14.98,0.78,3.82,790367,421
31,1,15-20,A,oil seep,0,0.79,2.14,29.58,8.01,0.89,4.16,720428,558
32,1,20-25,A,oil seep,0,0.49,4.17,29.82,8.32,0.22,5.84,876822,1045
33,1,25-35,A,oil seep,,0.5,0.45,29.22,4.17,0.27,8.43,802772,1042
34,1,35-50,A,oil seep,,1.96,0.12,29.09,4.32,0.4,9.44,729877,689
35,1,0-3,F,shelf,0,2.73,0.12,29.74,29.86,0.45,6.63,869112,636
36,1,3-6 cm,F,shelf,0,3.43,0.08,28.96,29.05,0.3,4.5,687276,404
37,1,6-9 cm,F,shelf,0,4.08,0.17,28.88,27.23,0.21,4.61,658583,309
38,1,9-15 cm,F,shelf,0,3.25,0.59,29.5,26.06,0.21,4.38,647210,308
39,1,15-20,F,shelf,0.48,3.55,0.03,29.24,16.78,0.73,3.82,1402742,336
40,1,20-25,F,shelf,0,2.91,0.12,29.04,10.97,0.6,3.48,598444,343
41,1,25-35,F,shelf,0,4.12,1.53,27.82,4.59,0.14,4.83,488235,406
42,1,35-50,F,shelf,,3.4,0.73,28.55,4.91,0.14,8.32,537137,515
43,1,0-3,G,abyssal,1.11,1.75,0.03,28.07,28.91,0.3,6.68,873155,445
44,1,3-6 cm,G,abyssal,8.72,2.47,0.08,28.29,28.33,0.4,5.34,777750,607
45,1,6-9 cm,G,abyssal,0,2.22,0.12,28.46,21.51,0.17,4.41,716808,307
46,1,9-15 cm,G,abyssal,0,2.08,0.12,28.08,15.48,0.75,4.81,711431,272
47,1,15-20,G,abyssal,0,2.63,0.08,27.6,3.18,0.4,5.08,719172,321
48,1,20-25,G,abyssal,0,2.5,,27.87,4.2,0.68,8.28,711674,646
49,1,25-35,G,abyssal,33.5,1.85,0.5,28.83,3.08,0.21,13.76,636793,632
50,1,25-50,G,abyssal,,1.84,0.17,29.61,2.97,0.25,14.3,641718,588
51,1,0-3,H,abyssal,0.1,1.11,0.08,28.89,36.17,0.25,14.96,1020556,535
52,1,3-6 cm,H,abyssal,0,1.76,0.03,29.31,30.7,0.12,4.28,872640,419
53,1,6-9 cm,H,abyssal,0,1.64,0.45,28.64,8.63,0.1,3.61,793026,393
54,1,9-15 cm,H,abyssal,3.71,1.47,0.03,28.97,9.55,0.77,4.01,871126,655
55,1,15-20,H,abyssal,0.68,0.49,0.03,30.02,4.37,0.73,8.28,847087,750
56,1,20-25,H,abyssal,0,0.96,0.08,28.7,4,0.36,9.35,772526,921
57,1,25-35,H,abyssal,0,0.99,6.57,28.78,3.78,0.17,12.29,657105,898
58,1,35-50,H,abyssal,,0.89,0.5,27.86,4.74,0.27,15.5,660434,1337
59,1,0-3,I,abyssal,0.7,1.61,0.22,29.14,36.02,0.27,5.48,968239,456
60,1,3-6 cm,I,abyssal,0,1.94,0.31,29.03,28.64,0.21,4.94,866218,342
61,1,6-9 cm,I,abyssal,0,1.79,0.17,28.9,15.66,0.47,5.75,772616,335
62,1,9-15 cm,I,abyssal,0,1.83,0.17,28.93,7.46,0.64,5.08,880785,318
63,1,15-20,I,abyssal,0,0.8,0.03,7.51,3.94,0.3,7.35,724397,541
64,1,20-25,I,abyssal,0,1.35,,28.67,6.53,0.45,10.02,712604,750
65,1,25-35,I,abyssal,0,1.03,0.36,29.39,4.06,0.19,14.7,698502,613
66,1,Oily Layer,J,shelf,0.07,0.43,0.31,31.1,11.87,0.36,4.28,,184
67,1,0-3,J,shelf,3.8,0.48,3.33,30.58,11.87,0.3,6.15,2149637,506
68,1,3-6 cm,J,shelf,1.56,0.49,0.22,31.28,3.11,0.32,10.42,1347862,477
69,1,6-9 cm,J,shelf,0,0.59,0.17,30.63,2.12,0.34,14.03,2257035,455
70,1,9-15 cm,J,shelf,0,0.86,0.36,30.79,2.59,0.3,15.37,592099,427
71,1,15-20,J,shelf,0,0.86,0.08,30.07,4.25,0.3,17.9,1490600,457
